DCAF,CUL2,CUL3_BBK,CUL5,FBOX,NR,DCAF_OR,DCAF_B
ERCC8,VHL,KEAP1,LRRC41,CCNF,CUL1,PWP1,DCAF7
COP1,LRR1/PPIL5,KLHL20,ELOA,FBH1,SKP1,TOR1AIP2,DCAF8L1/2
DDA1,FEM1A,LZTR1,WSB1,KDM2B,RBX1,DCAF8,DCAF13
CRBN,FEM1B,CCL28/ENC1,WSB2,KDM2A,CUL2,DCAF4/L1,
TRPC4AP,MED8,KBTBD2,SOCS2,BTRC,CUL3,DCAF4L2,
DET1,ZYG11B,KBTBD11,SOCS6,FBXL2,CUL4A,DDB2,
FBXW2,KLHDC2,SPOP,TULP3,FBXL3,CUL4B,DCAF16,
FBXW4,KLHDC3,CCIN,ELOB,FBXL4,CUL5,DCAF10,
FBXW5,APPBP2,KLHL3,ELOC,FBXL6,ELOB,DCAF5,
FBXW7,LRRC14,KLHL4,PCMTD1,FBXL7,ELOC,DCAF3/AMBRA1,
FBXW8,LRRC14B,KLHL5,PCMTD2,FBXL8,DDB1,DCAF9/WDTC1,
FBXW9,LRRC28,KLHL6,SPSB1,FBXL12,CDC20,DCAF14/PHIP,
FBXW11,LRRC42,KLHL7,CISD1,FBXL15,FZR1,DCAF6,
RBBP4/7,LRRC58,KLHL8,CISD2,FBXL16,CDH1,CRBN,
RBBP5,ZER1,KLHL9,CISD3,FBXL17,CUL7,DCAF19/BRWD1,
RBBP7,PRAME,KLHL10,ASB1,FBXL18,CUL9,DCAF17,
WSB1,ZSWIM3,KLHL11,ASB2,FBXL20,ANAPC2,DCAF1,
WSB2,ZSWIM8,KLHL12,ASB3,FBXL22,APC2,DCAF11,
PWP1,ZSWIM9,KLHL13,ASB5,FBXO2,DDA1,TRPC4AP,
GRWD1,,KLHL14,ASB6,FBXO3,,DCAF15,
ATG16L1,,KLHL15,ASB7,FBXO4,,DET1,
KATNB1,,KLHL18,ASB9,FBXO6,,BRWD3,
NUP43,,KLHL20,ASB10,FBXO7,,COP1,
TLE1,,KLHL21,ASB11,FBXO9,,DCAF12,
TLE2,,KLHL22,RASA4/B,FBXO11,,ERCC8,
TLE3,,KLHL24,RASA1,FBXO15,,,
EED/ESC1,,KLHL25,RASA2,FBXO16,,,
NLE1,,KLHL26,RASA3,FBXO17,,,
PAFAH1B1/LIS1,,KLHL29,RASAL3,FBXO21,,,
SMU1,,KLHL31,RASAL2,FBXO22,,,
TOR1AIP2,,KLHL36,RASAL1,FBXO27,,,
DDB1,,KLHL41,RAB40B,FBXO28,,,
DDB2,,KLHL42,ANKRD1,FBXO30,,,
DCAF1,,,ANKRD2,FBXO31,,,
DCAF3/AMBRA1,,,ANKRD6,FBXO38,,,
DCAF4/L1,,,ANKRD7,FBXO40,,,
DCAF4L2,,,ANKRD10,FBXO41,,,
DCAF5,,,ANKRD11,FBXO42,,,
DCAF6,,,ANKRD12,FBXO44,,,
DCAF7,,,,FBXO45,,,
DCAF8,,,,FBXO46,,,
DCAF8L1/2,,,,FBXW2,,,
DCAF9/WDTC1,,,,FBXW4,,,
DCAF10,,,,FBXW5,,,
DCAF11,,,,FBXW7,,,
DCAF12,,,,FBXW8,,,
DCAF12L1/2,,,,FBXW9,,,
DCAF13,,,,FBXW11,,,
DCAF14/PHIP,,,,,,,
DCAF15,,,,,,,
DCAF16,,,,,,,
DCAF17,,,,,,,
DCAF19/BRWD1,,,,,,,
BRWD3,,,,,,,
WDR54,,,,,,,
WDR1,,,,,,,
WDR3,,,,,,,
WDR4,,,,,,,
WDR5/B,,,,,,,
WDR6,,,,,,,
WDR7,,,,,,,
WDR11,,,,,,,
WDR12,,,,,,,
WDR13,,,,,,,
WDR17,,,,,,,
WDR18,,,,,,,
WDR19,,,,,,,
WDR20,,,,,,,
WDR24,,,,,,,
WDR25,,,,,,,
WDR26,,,,,,,
WDR33,,,,,,,
WDR34,,,,,,,
WDR35,,,,,,,
WDR36,,,,,,,
WDR37,,,,,,,
WDR38,,,,,,,
WDR39/CIAO1,,,,,,,
WDR41,,,,,,,
WDR43,,,,,,,
WDR44,,,,,,,
WDR45,,,,,,,
WDR45B,,,,,,,
WDR46,,,,,,,
WDR47,,,,,,,
WDR48,,,,,,,
WDR49,,,,,,,
WDR53,,,,,,,
WDR55,,,,,,,
WDR57/SNRNP40,,,,,,,
WDR59,,,,,,,
WDR60,,,,,,,
WDR61,,,,,,,
WDR62,,,,,,,
WDR63,,,,,,,
WDR66,,,,,,,
WDR70,,,,,,,
WDR72,,,,,,,
WDR73,,,,,,,
WDR74,,,,,,,
WDR75,,,,,,,
WDR77,,,,,,,
WDR78,,,,,,,
WDR81,,,,,,,
WDR82,,,,,,,
WDR82,,,,,,,
WDR83,,,,,,,
WDR88,,,,,,,
WDR89,,,,,,,
WDR90,,,,,,,
WDR91,,,,,,,
WDR92,,,,,,,
WDR93,,,,,,,
