DCAFS_B	DCAFS_OR	NR	FBOX	CUL5	CUL3_BBK	CUL2	DCAFS
testis	testis	testis	duodenum	stomach	brain	duodenum	testis
liver	lung	lung	brain	lung	testis	small.intestine	lung
urinary.bladder	duodenum	brain	lung	testis	small.intestine	brain	duodenum
lung	adrenal.gland	small.intestine	small.intestine	brain	lung	rectum	fallopian.tube.oviduct
kidney	fallopian.tube.oviduct	gallbladder	liver	duodenum	tonsil	lung	brain
fallopian.tube.oviduct	small.intestine	duodenum	fallopian.tube.oviduct	esophagus	fallopian.tube.oviduct	adrenal.gland	adrenal.gland
smooth.muscle	placenta	placenta	adrenal.gland	tonsil	adrenal.gland	liver	small.intestine
duodenum	ovary	fallopian.tube.oviduct	lymph.node	endometrium.uterine	endometrium.uterine	placenta	ovary
brain	gallbladder	liver	tonsil	prostate	duodenum	gallbladder	placenta
tonsil	brain	thyroid	endometrium.uterine	salivary.gland	thyroid	endometrium.uterine	gallbladder
ovary	lymph.node	lymph.node	testis	liver	esophagus	kidney	esophagus
small.intestine	thyroid	kidney	smooth.muscle	small.intestine	rectum	fallopian.tube.oviduct	colon
endometrium.uterine	esophagus	salivary.gland	stomach	adrenal.gland	prostate	prostate	liver
lymph.node	colon	pancreas	ovary	smooth.muscle	ovary	lymph.node	smooth.muscle
rectum	prostate	tonsil	rectum	heart	heart	stomach	lymph.node
heart	smooth.muscle	rectum	esophagus	gallbladder	lymph.node	colon	endometrium.uterine
esophagus	rectum	heart	gallbladder	fallopian.tube.oviduct	gallbladder	urinary.bladder	rectum
gallbladder	endometrium.uterine	ovary	placenta	rectum	placenta	testis	thyroid
placenta	tonsil	urinary.bladder	salivary.gland	colon	spleen	smooth.muscle	stomach
colon	spleen	adrenal.gland	heart	placenta	liver	salivary.gland	prostate
pancreas	heart	colon	thyroid	kidney	kidney	tonsil	tonsil
spleen	liver	stomach	colon	thyroid	colon	thyroid	salivary.gland
adrenal.gland	stomach	spleen	prostate	urinary.bladder	appendix	pancreas	heart
thyroid	salivary.gland	endometrium.uterine	urinary.bladder	spleen	salivary.gland	heart	spleen
salivary.gland	urinary.bladder	esophagus	pancreas	ovary	stomach	ovary	urinary.bladder
bone.marrow	appendix	smooth.muscle	fat.adipose.tissue	lymph.node	pancreas	esophagus	pancreas
prostate	kidney	fat.adipose.tissue	spleen	pancreas	urinary.bladder	spleen	kidney
stomach	pancreas	appendix	appendix	fat.adipose.tissue	smooth.muscle	appendix	fat.adipose.tissue
fat.adipose.tissue	fat.adipose.tissue	prostate	kidney	appendix	fat.adipose.tissue	fat.adipose.tissue	appendix
appendix	bone.marrow	bone.marrow	bone.marrow	bone.marrow	bone.marrow	bone.marrow	bone.marrow
