DCAFS_B	DCAFS_OR	NR	FBOX	CUL5	CUL3_BBK	CUL2	DCAFS
DCAF8L1/2	DET1	CDC20	FBXO46	WSB1	KLHL14	LRRC42	DDB2
DCAF13	CRBN	RBX1	FBXL4	SOCS2	KLHL20	FEM1B	WSB1
DCAF7	DCAF16	APC2	CCNF	ASB7	KLHL42	LRRC28	FBXW2
	PWP1	CUL4B	FBXO9	RASAL1	CCIN	VHL	DCAF1
	DCAF6	DDB1	FBXO22	RASAL3	KLHL10	LRRC58	DCAF10
	DCAF12	ELOB	KDM2A	ASB11	KLHL5	MED8	EED/ESC1
	DCAF3/AMBRA1	ELOC	FBXO3	ANKRD11	KLHL36	ZYG11B	DCAF14/PHIP
	DCAF17	CUL3	FBXO7	PCMTD2	KLHL21	ZER1	TLE3
	DCAF4L2	SKP1	FBXW2	ANKRD12	KLHL24	APPBP2	WDR18
	DCAF15	CUL2	FBXO41	ELOA	KLHL31	ZSWIM8	WDR53
	DCAF4/L1	CUL5	FBXL16	SOCS6	KLHL41	FEM1A	WDR92
	DDB2	DDA1	FBXL18	ANKRD6	CCL28/ENC1	KLHDC2	SMU1
	DCAF1	ANAPC2	FBXL2	LRRC41	KLHL18	PRAME	WDR43
	DCAF10	CUL7	FBXL17	CISD3	SPOP	KLHDC3	WDR36
	DCAF14/PHIP	CDH1	FBXO44	ANKRD10	KLHL4	ZSWIM3	WDR4
	TRPC4AP	CUL4A	FBXO2	CISD1	KLHL7	LRR1/PPIL5	WDR3
	DCAF11	CUL9	FBXO27	ANKRD2	KLHL6	ZSWIM9	WDR75
	DCAF19/BRWD1	CUL1	FBXO42	ASB2	KLHL15	LRRC14	DCAF13
	DCAF8	FZR1	FBXW9	ANKRD1	KLHL12	LRRC14B	NLE1
	ERCC8		FBXW8	ASB10	KLHL8		DCAF11
	BRWD3		BTRC	ASB5	KLHL22		WDR20
	COP1		FBXO16	RASA2	KEAP1		DDA1
	TOR1AIP2		FBXL12	ASB1	KLHL11		WDR74
	DCAF5		FBXO40	RAB40B	KLHL9		KATNB1
	DCAF9/WDTC1		FBXO21	SPSB1	LZTR1		WDR46
			FBXW11	WSB2	KLHL13		WDR57/SNRNP40
			FBXW7	ASB3	KLHL25		RBBP4/7
			KDM2B	RASA4/B	KLHL29		RBBP7
			FBXO30	RASA3	KBTBD11		WDR55
			FBXO31	RASAL2	KBTBD2		WDR89
			FBXL7	ELOB	KLHL26		DCAF5
			FBXO17	ELOC	KLHL3		WDR12
			FBH1	CISD2			TRPC4AP
			FBXO15	PCMTD1			WDR34
			FBXO45	ANKRD7			WDR82
			FBXL15	ASB9			TLE2
			FBXO4	TULP3			DCAF19/BRWD1
			FBXO28	ASB6			FBXW7
			FBXL22	RASA1			WDR5/B
			FBXL6				WDR70
			FBXO11				ERCC8
			FBXO6				BRWD3
			FBXW4				COP1
			FBXL20				TOR1AIP2
			FBXL3				WDR24
			FBXO38				DCAF8
			FBXL8				WDR39/CIAO1
			FBXW5				WDR13
							DCAF7
							PAFAH1B1/LIS1
							DCAF16
							WDR1
							WDR81
							WDR6
							WDR45
							PWP1
							WDR44
							DET1
							WDR35
							WDR90
							WDR41
							WDR59
							WDR45B
							WDR48
							CRBN
							WDR7
							WDR37
							WDR47
							WSB2
							WDR17
							WDR91
							WDR72
							WDR77
							NUP43
							FBXW5
							RBBP5
							WDR73
							WDR33
							WDR83
							GRWD1
							WDR61
							FBXW4
							DCAF9/WDTC1
							WDR11
							FBXW9
							WDR66
							WDR78
							FBXW8
							WDR63
							WDR49
							WDR93
							TLE1
							WDR54
							WDR60
							DCAF6
							FBXW11
							DCAF3/AMBRA1
							DCAF12
							WDR19
							WDR38
							DCAF15
							DCAF4/L1
							DDB1
							WDR26
							ATG16L1
							WDR25
							DCAF12L1/2
							WDR62
							DCAF17
							DCAF8L1/2
							DCAF4L2
							WDR88
