Protein.IDs,Majority.protein.IDs,gene,rectum
CON__A2A4G1,CON__A2A4G1,NA,0
CON__A2A5Y0,CON__A2A5Y0,NA,720400
CON__A2AB72,CON__A2AB72,NA,84284
CON__A2VCT4,CON__A2VCT4,NA,0
CON__A3EZ79,CON__A3EZ79,NA,0
ENSP00000342012.3;CON__A3EZ82,ENSP00000342012.3;CON__A3EZ82,DMKN; NA,0
CON__ENSEMBL:ENSBTAP00000001528,CON__ENSEMBL:ENSBTAP00000001528,bovine,494510
CON__ENSEMBL:ENSBTAP00000006074,CON__ENSEMBL:ENSBTAP00000006074,bovine,0
CON__ENSEMBL:ENSBTAP00000024146,CON__ENSEMBL:ENSBTAP00000024146,bovine,12960000
CON__ENSEMBL:ENSBTAP00000025008,CON__ENSEMBL:ENSBTAP00000025008,bovine,0
CON__ENSEMBL:ENSBTAP00000031900,CON__ENSEMBL:ENSBTAP00000031900,bovine,10974000
CON__ENSEMBL:ENSBTAP00000038253,CON__ENSEMBL:ENSBTAP00000038253,bovine,0
CON__H-INV:HIT000015463,CON__H-INV:HIT000015463,NA,0
CON__H-INV:HIT000292931,CON__H-INV:HIT000292931,NA,0
ENSP00000444533.1;ENSP00000293525.5;CON__O43790,ENSP00000444533.1;ENSP00000293525.5;CON__O43790,AC021066.1; AC021066.1; KRT86,3448300
ENSP00000377555.2;ENSP00000329165.6;CON__O76013,ENSP00000377555.2;ENSP00000329165.6;CON__O76013,KRT36; KRT36; KRT36,0
ENSP00000246646.2;CON__O76015,ENSP00000246646.2;CON__O76015,KRT38; KRT38,0
CON__O95678;ENSP00000252245.5,CON__O95678;ENSP00000252245.5,K2C75; KRT75,1100900
CON__P00761,CON__P00761,NA,1.8628e+10
CON__P01966,CON__P01966,NA,1960300000
CON__P02070,CON__P02070,NA,186510000
ENSP00000167586.6;CON__P02533,ENSP00000167586.6;CON__P02533,KRT14; K1C14,987860000
CON__P02535-1,CON__P02535-1,NA,0
ENSP00000369317.3;CON__P02538;ENSP00000446881.1,ENSP00000369317.3;CON__P02538,KRT6A; K2C6A; KRT72,0
CON__P02584,CON__P02584,NA,911010
CON__P02662,CON__P02662,NA,3321900
CON__P02663,CON__P02663,NA,0
CON__P02666,CON__P02666,NA,0
CON__P02668,CON__P02668,NA,0
CON__P02676,CON__P02676,NA,0
CON__P02754,CON__P02754,NA,0
ENSP00000295897.4;CON__P02768-1;ENSP00000426179.1;ENSP00000421027.1;ENSP00000401820.2,ENSP00000295897.4;CON__P02768-1;ENSP00000426179.1;ENSP00000421027.1;ENSP00000401820.2,ALB; NA; ALB; ALB; ALB,5.0728e+10
CON__P02769,CON__P02769,NA,9599000
CON__P02777,CON__P02777,NA,0
CON__P04258,CON__P04258,NA,0
CON__P04259,CON__P04259,K2C6B,2400200
CON__P05784,CON__P05784,NA,3902200
ENSP00000447566.1;ENSP00000447402.1;ENSP00000293308.6;CON__P05787;ENSP00000449404.1;ENSP00000447881.1;ENSP00000447040.1;ENSP00000450340.1;CON__H-INV:HIT000016045;ENSP00000449010.2;ENSP00000450228.1,ENSP00000447566.1;ENSP00000447402.1;ENSP00000293308.6;CON__P05787;ENSP00000449404.1;ENSP00000447881.1;ENSP00000447040.1,KRT8; KRT8; KRT8; K2C8; KRT8; KRT8; KRT8; KRT8; NA; KRT8; KRT8,1.1246e+10
CON__P06868,CON__P06868,NA,422640
ENSP00000479217.1;ENSP00000308720.7;CON__P07477;ENSP00000487956.1;ENSP00000417854.1;ENSP00000481361.1;ENSP00000478237.1,ENSP00000479217.1;ENSP00000308720.7;CON__P07477;ENSP00000487956.1;ENSP00000417854.1;ENSP00000481361.1;ENSP00000478237.1,PRSS1; PRSS1; TRY1; PRSS1; PRSS1; PRSS1; PRSS1,0
CON__P08727,CON__P08727,K1C19,5480200000
CON__P08729,CON__P08729,K2C7,0
CON__P08730-1,CON__P08730-1,NA,12038000
ENSP00000301653.3;CON__P08779;ENSP00000467124.1;ENSP00000467105.1,ENSP00000301653.3;CON__P08779,KRT16; K1C16; KRT16; KRT16,127840000
CON__P12763,CON__P12763,NA,950540
ENSP00000269576.5;CON__P13645,ENSP00000269576.5;CON__P13645,KRT10; K1C10,226600000
CON__P13646-1;ENSP00000466525.1,CON__P13646-1,NA; KRT13,14982000
ENSP00000252242.4;CON__P13647;ENSP00000447209.1;ENSP00000448767.1;ENSP00000449783.1;ENSP00000449651.1,ENSP00000252242.4;CON__P13647,KRT5; K2C5; KRT5; KRT5; KRT5; KRT5,169640000
CON__P19001,CON__P19001,NA,0
CON__P19012,CON__P19012,K1C15,5960200
ENSP00000448220.1;CON__P19013;ENSP00000449755.1;ENSP00000447320.1,ENSP00000448220.1;CON__P19013,KRT4; K2C4; KRT4; KRT4,13508000
ENSP00000357789.1;CON__P20930,ENSP00000357789.1;CON__P20930,FLG; FILA,1051.2
ENSP00000460501.2;ENSP00000167588.3;CON__P35900,ENSP00000460501.2;ENSP00000167588.3;CON__P35900,KRT20; KRT20; K1C20,2615600000
ENSP00000252250.6;CON__P48668,ENSP00000252250.6;CON__P48668,KRT6C; K2C6C,824290000
CON__P50446,CON__P50446,NA,0
CON__P78385,CON__P78385,KRT83,0
ENSP00000257901.3;CON__P78386;ENSP00000440240.1,ENSP00000257901.3;CON__P78386;ENSP00000440240.1,KRT85; KRT85; KRT85,5159900
CON__Q01546,CON__Q01546,K22O,0
CON__Q03247,CON__Q03247,NA,0
ENSP00000308452.8;CON__Q04695;ENSP00000441751.2;ENSP00000467418.1;ENSP00000468672.1,ENSP00000308452.8;CON__Q04695;ENSP00000441751.2,KRT17; K1C17; KRT17; KRT17; KRT17,27289000
CON__Q29443;CON__Q0IIK2,CON__Q29443;CON__Q0IIK2,NA; NA,0
CON__Q0V8M9,CON__Q0V8M9,NA,0
ENSP00000459509.1;ENSP00000251646.3;CON__Q14525,ENSP00000459509.1;ENSP00000251646.3;CON__Q14525,KRT33B; KRT33B; KT33B,28482000
CON__Q14533;ENSP00000483796.1;ENSP00000369349.4,CON__Q14533;ENSP00000483796.1;ENSP00000369349.4,KRT81; KRT81; KRT81,0
ENSP00000441160.2;ENSP00000293745.2;CON__Q14CN4-1;ENSP00000346269.4,ENSP00000441160.2;ENSP00000293745.2;CON__Q14CN4-1;ENSP00000346269.4,KRT72; KRT72; NA; KRT72,0
ENSP00000460739.1;ENSP00000251645.2;CON__Q9UE12;CON__Q15323,ENSP00000460739.1;ENSP00000251645.2;CON__Q9UE12;CON__Q15323,KRT31; KRT31; NA; K1H1,7423900
CON__Q1RMN8,CON__Q1RMN8,NA,0
CON__Q28107,CON__Q28107,NA,1188800
CON__Q28194,CON__Q28194,NA,0
CON__Q29RQ1,CON__Q29RQ1,NA,0
CON__Q2KIS7,CON__Q2KIS7,NA,0
CON__Q2KJC7,CON__Q2KJC7,NA,0
ENSP00000264651.2;CON__Q2M2I5,ENSP00000264651.2;CON__Q2M2I5,KRT24; K1C24,0
CON__Q2UVX4,CON__Q2UVX4,NA,2104800
CON__Q2YDI2,CON__Q2YDI2,NA,0
ENSP00000307014.3;CON__Q32MB2;ENSP00000449081.1,ENSP00000307014.3;CON__Q32MB2;ENSP00000449081.1,KRT73; NA; KRT73,0
CON__Q32PJ2,CON__Q32PJ2,NA,8415300
ENSP00000329243.5;CON__Q3KNV1,ENSP00000329243.5;CON__Q3KNV1,KRT7; NA,32123000
CON__Q3KUS7,CON__Q3KUS7,NA,3127700
ENSP00000334985.2;CON__Q3LI72,ENSP00000334985.2;CON__Q3LI72,KRTAP19-5; KR195,0
CON__Q3MHH8,CON__Q3MHH8,NA,0
CON__Q3SX14,CON__Q3SX14,NA,0
CON__Q3SX28,CON__Q3SX28,NA,626240
ENSP00000267119.5;CON__Q3SY84,ENSP00000267119.5;CON__Q3SY84,KRT71; K2C71,0
CON__Q3TTY5,CON__Q3TTY5,NA,0
CON__Q9Z2K1;CON__Q3ZAW8,CON__Q9Z2K1;CON__Q3ZAW8,NA; NA,15460000
CON__Q3ZBD7,CON__Q3ZBD7,NA,82992000
CON__Q497I4,CON__Q497I4,NA,1934500
ENSP00000373370.4;CON__Q5D862,ENSP00000373370.4;CON__Q5D862,FLG2; FILA2,6084600
CON__Q61726;ENSP00000452237.3,CON__Q61726,NA; AC021066.1,781230
